taskSize,taskType,priority,resourceLoad,actualTime
2,1,2,50.21,2.804
1,1,3,54.87,1.051
2,1,1,13.58,2.277
1,3,1,35.99,0.995
1,1,1,13.58,0.804
1,3,2,42.26,0.572
1,1,2,4.91,0.666
2,2,2,15.07,6.143
1,2,1,22.87,1.197
1,1,1,8.47,0.528
1,3,1,54.91,1.096
1,3,5,6.33,0.408
3,2,2,39.57,39.945
3,2,2,20.56,21.242
1,1,2,38.41,0.679
1,1,1,66.05,0.935
1,1,1,24.39,0.696
1,2,4,44.99,0.692
1,1,2,22.81,0.767
1,3,4,10.33,0.518
1,2,3,14.77,0.752
1,1,5,41.0,0.716
1,1,1,59.4,0.503
1,1,1,21.0,0.474
2,2,2,38.96,6.757
1,3,2,42.29,1.053
2,3,1,42.42,6.384
1,2,1,47.35,1.35
1,1,2,53.69,0.859
2,3,1,45.63,4.274
1,3,2,27.59,0.703
3,2,2,14.37,23.722
3,1,2,37.19,13.266
1,1,3,19.38,0.426
1,1,4,32.91,0.543
1,1,3,7.14,0.573
3,2,3,44.72,48.892
1,2,2,24.43,1.17
2,3,2,32.23,2.15
1,1,1,35.25,1.051
1,1,3,26.67,0.527
1,1,1,31.13,0.457
2,1,1,28.56,4.465
2,1,4,22.83,1.725
1,2,1,44.56,1.627
1,2,2,8.72,0.998
1,3,1,12.61,0.806
1,1,1,16.56,0.726
2,2,1,33.36,6.659
1,2,3,29.1,0.867
3,1,1,52.08,11.826
1,2,3,27.66,0.572
2,1,2,54.68,3.708
3,1,1,27.48,16.592
2,1,2,34.51,4.753
3,2,1,3.66,23.287
1,2,4,38.5,1.13
2,2,3,11.13,3.956
1,1,1,20.51,0.464
1,1,1,18.63,0.93
1,2,5,26.83,0.806
2,1,4,8.37,2.021
3,2,2,32.61,38.357
1,1,3,13.47,0.464
2,2,3,11.2,4.586
2,3,1,11.88,3.42
2,2,2,34.93,6.943
1,2,1,18.24,0.828
1,1,3,26.81,0.37
1,1,1,33.59,0.683
2,3,3,5.17,3.367
1,3,2,2.4,0.912
2,1,2,14.97,3.324
3,1,1,22.26,15.975
1,1,1,11.38,0.691
2,1,3,26.58,2.409
1,2,4,35.98,1.102
2,3,5,13.87,1.27
1,1,1,40.28,0.706
3,3,1,26.19,26.82
2,3,1,76.7,8.814
2,2,2,18.19,5.932
1,2,5,40.23,0.659
1,1,1,9.91,0.57
2,2,2,61.45,5.673
3,1,4,33.15,9.204
3,2,1,20.48,26.102
2,3,1,27.39,4.392
2,1,1,32.48,1.849
1,1,2,27.47,0.472
2,1,1,30.26,2.892
1,1,2,43.88,1.38
2,1,3,11.22,2.764
1,2,1,29.96,1.156
3,3,3,23.22,13.418
1,1,1,5.02,0.513
1,2,5,1.48,0.57
2,2,2,25.69,8.428
2,1,3,36.38,5.849
2,1,1,4.64,3.083
2,3,1,69.99,8.027
1,1,2,6.4,0.609
1,3,1,22.24,0.872
2,3,3,38.72,2.461
3,3,1,51.02,22.578
2,1,2,2.92,3.475
1,1,3,33.17,0.629
2,1,2,39.76,3.12
1,1,2,34.75,0.605
3,3,2,61.26,44.94
1,2,1,26.81,1.285
1,1,5,57.85,0.893
1,1,2,57.21,0.748
2,1,1,31.49,4.822
2,1,1,54.22,7.906
2,1,1,4.11,2.831
1,1,3,31.16,0.525
2,1,1,16.29,3.203
1,1,1,13.59,0.781
1,1,1,64.5,1.089
2,1,1,7.92,3.745
1,1,4,16.62,0.4
1,1,4,16.18,0.239
1,1,1,37.78,0.904
2,2,3,12.24,6.835
1,1,1,24.58,0.786
1,1,1,16.81,0.702
1,1,1,65.58,3.169
2,1,1,31.8,4.615
1,3,1,42.86,0.946
1,3,1,43.41,1.488
1,1,1,30.39,0.693
1,1,5,38.95,0.437
1,2,1,36.42,1.64
2,1,2,76.87,9.392
1,2,3,22.12,1.009
1,2,1,2.52,1.237
1,2,3,16.31,0.772
1,1,3,24.77,0.554
2,1,1,14.0,2.684
2,1,4,47.83,3.75
2,2,2,40.5,9.944
1,3,2,6.0,1.078
1,1,4,15.57,0.396
1,1,1,21.27,0.552
1,2,3,45.99,2.21
2,1,1,21.17,4.785
1,1,1,43.91,1.017
1,1,2,40.03,0.759
2,2,1,7.87,5.809
1,1,2,37.14,0.569
3,2,1,10.31,28.323
1,2,1,27.12,1.611
2,1,2,22.47,3.796
2,3,4,10.47,2.268
2,2,1,24.58,6.336
1,1,1,45.73,0.752
1,1,2,27.62,0.682
1,1,1,56.5,0.618
2,2,2,13.6,6.015
1,2,1,21.57,1.599
1,1,5,46.12,0.373
1,2,1,47.54,1.557
2,2,3,51.08,9.774
1,1,4,24.98,0.445
1,1,1,9.65,0.655
2,3,2,27.54,2.602
2,1,4,7.74,2.81
2,3,5,64.55,3.136
1,3,2,48.31,1.059
1,2,2,25.25,1.424
1,2,2,43.63,1.679
1,1,2,14.45,0.711
1,1,5,17.06,0.478
1,1,1,35.91,0.822
1,2,5,28.83,0.597
1,3,2,11.34,0.681
2,1,2,29.72,3.29
1,1,3,48.2,0.521
3,1,2,40.5,10.014
2,2,2,24.55,4.705
1,2,1,18.15,1.21
1,3,2,25.75,0.962
3,1,1,10.31,20.248
3,2,3,47.22,66.734
1,1,1,22.32,0.92
1,3,2,70.11,2.006
3,2,2,39.11,21.458
2,1,2,32.04,2.3
2,1,2,14.02,3.284
1,2,3,51.82,1.378
2,2,1,63.07,8.181
1,1,1,32.15,1.014
1,1,2,51.81,0.859
2,1,1,11.25,4.916
1,1,2,42.51,0.584
1,1,4,12.03,0.379
2,1,2,40.39,3.382
2,1,3,7.96,2.939
3,1,2,27.84,12.413
1,1,4,40.55,0.383
1,1,1,49.89,1.021
1,2,3,16.53,0.848
1,2,3,9.97,0.85
1,3,2,42.77,1.361
1,2,1,14.17,1.37
1,1,1,12.97,0.691
1,1,3,52.96,0.349
1,2,2,19.94,1.067
1,2,2,9.23,0.926
1,1,3,11.67,0.392
2,2,1,33.82,6.993
1,2,3,37.14,1.603
3,2,2,9.13,24.44
1,2,1,34.14,1.716
2,1,2,10.1,3.703
2,2,2,51.26,7.763
2,1,2,34.1,3.031
2,3,1,15.17,4.463
1,1,3,37.24,0.795
1,2,2,6.47,1.351
2,3,3,58.36,10.11
1,1,4,46.62,0.639
2,1,3,28.94,1.94
2,1,3,13.88,2.604
1,2,1,58.84,1.186
1,1,1,47.79,0.671
2,2,1,29.1,4.899
2,2,1,34.8,5.343
2,1,1,29.68,4.614
2,2,3,34.46,6.023
1,3,1,19.43,1.051
1,3,4,20.4,0.747
1,1,4,15.32,0.288
1,3,1,56.95,1.645
2,2,1,39.59,7.386
2,3,2,19.94,4.575
2,1,1,15.59,4.847
1,2,4,14.97,0.715
1,2,1,12.9,1.343
1,3,5,11.46,0.357
1,1,1,60.06,1.333
1,2,1,16.42,1.308
1,1,1,10.63,0.895
1,3,1,14.08,0.774
1,3,2,39.39,1.097
2,3,1,25.63,4.514
2,2,3,10.82,3.605
1,1,2,50.6,0.568
2,2,2,53.37,10.342
1,3,3,47.76,0.494
1,1,1,19.5,0.714
2,2,5,43.83,4.404
1,1,3,22.38,0.502
2,1,2,21.33,6.263
1,1,3,76.24,0.908
1,2,2,25.49,1.484
1,1,1,71.51,1.726
1,1,1,16.61,0.57
1,3,1,19.92,0.709
1,1,1,9.94,0.918
1,3,2,23.65,1.33
1,1,2,13.4,0.584
1,2,4,23.43,1.013
2,1,1,38.6,3.282
2,1,2,20.69,3.487
2,2,1,17.34,7.991
2,1,2,29.52,2.182
1,1,2,11.07,0.428
2,2,2,38.92,6.54
2,1,2,5.73,2.613
2,3,3,46.75,4.884
2,1,2,20.93,2.117
3,3,1,35.38,17.601
1,1,5,7.65,0.396
3,3,5,15.57,8.665
1,1,3,29.97,0.358
1,1,1,21.95,0.661
1,1,1,14.12,0.601
1,2,3,10.14,1.059
1,2,3,35.5,1.52
1,1,2,22.25,0.527
1,2,1,54.62,1.781
2,1,1,13.15,3.477
1,1,1,42.87,0.6
1,1,3,38.19,0.591
2,2,2,45.02,6.116
2,2,4,17.93,3.793
2,2,3,6.05,4.396
1,1,2,27.05,0.683
3,2,1,34.52,46.879
2,1,3,30.93,3.244
1,2,1,13.27,1.693
1,3,1,18.03,0.542
1,1,1,33.08,0.469
2,2,3,17.65,5.334
2,1,2,55.99,3.016
2,2,4,39.56,4.568
3,2,3,17.97,28.832
2,1,1,41.49,6.039
1,1,3,16.22,0.43
1,1,4,55.95,0.792
1,1,1,30.5,0.7
1,1,1,10.09,0.486
1,3,3,28.13,0.868
1,3,4,7.72,0.807
2,1,2,30.97,3.751
1,1,2,36.26,0.747
2,1,1,51.2,4.401
3,2,1,18.89,22.049
1,1,1,35.85,0.377
1,1,2,15.42,0.726
1,2,1,31.53,1.483
2,1,1,31.31,4.221
2,2,3,41.05,7.306
1,3,1,17.7,1.193
2,3,1,21.83,5.478
2,2,2,40.26,6.199
1,1,1,57.31,1.182
2,2,1,24.93,6.185
1,3,1,9.76,0.962
1,1,2,16.15,0.743
3,3,2,19.62,14.116
1,1,1,43.08,0.726
2,1,5,10.07,1.816
2,2,2,46.12,5.644
1,1,1,40.21,0.755
2,1,1,29.39,4.615
1,3,2,25.15,1.03
1,3,2,27.4,0.741
1,2,1,18.87,0.97
2,2,2,16.93,4.554
3,1,1,57.95,17.239
1,2,2,17.09,0.87
1,1,3,16.54,0.615
3,1,2,47.09,14.301
2,1,1,59.06,3.854
1,1,1,32.02,1.316
1,1,1,24.13,0.809
1,1,1,24.65,0.443
1,1,1,7.89,0.688
1,1,4,27.27,0.513
2,2,1,22.23,5.752
2,1,1,29.49,3.762
1,1,4,23.19,0.552
2,1,2,34.12,3.544
1,3,3,48.42,0.998
2,3,3,14.74,3.088
1,3,2,31.28,0.785
1,2,1,48.13,1.616
1,3,1,26.09,0.612
1,1,1,3.44,0.773
2,1,4,11.26,2.501
1,3,1,58.98,1.894
1,1,4,25.76,0.417
1,2,2,30.92,1.672
2,3,2,16.97,3.123
2,1,1,15.81,5.11
2,1,1,55.48,2.769
2,1,2,19.34,2.97
2,2,5,32.39,3.159
1,2,1,44.3,1.148
2,2,2,23.32,5.998
1,1,2,41.73,0.971
2,1,3,18.48,3.059
3,3,3,9.53,11.749
1,3,2,30.16,0.572
1,1,3,14.64,0.356
1,2,1,35.52,1.095
3,3,1,29.91,17.689
1,2,3,13.97,1.122
2,3,1,14.79,6.393
1,2,4,5.92,0.751
1,1,1,10.58,0.362
1,2,2,15.9,0.854
2,2,3,67.59,12.209
1,1,2,26.12,0.557
3,1,2,25.53,22.129
2,3,2,34.76,3.904
3,2,1,19.02,39.836
1,1,1,16.16,0.544
1,2,2,23.09,1.073
1,2,1,65.9,4.304
1,1,2,53.14,0.845
1,2,2,17.65,1.149
1,3,3,36.81,0.845
3,3,4,30.7,15.384
1,1,3,9.52,0.5
1,1,1,35.73,0.753
2,1,3,64.1,3.32
1,2,2,35.4,0.914
1,1,1,3.41,0.802
3,2,2,10.02,27.227
1,2,1,48.09,1.094
1,1,1,15.25,0.992
1,3,3,41.33,1.051
1,1,1,22.8,0.896
1,3,3,17.05,0.54
2,1,4,37.82,3.115
1,1,3,4.65,0.48
1,1,2,25.64,0.64
1,3,3,27.52,0.926
3,1,2,15.93,13.836
1,2,1,17.11,0.741
1,1,2,39.14,0.857
1,1,2,28.59,0.688
1,2,2,27.15,1.276
1,1,2,43.55,0.8
1,1,2,37.45,0.857
1,2,3,22.03,1.119
1,3,5,5.21,0.378
2,1,4,9.19,1.705
1,1,5,42.91,0.481
1,2,1,36.5,1.686
1,3,3,24.11,0.8
1,1,1,6.61,0.788
1,1,1,38.87,0.892
1,1,3,33.59,0.428
1,1,1,37.46,0.539
1,1,1,28.58,0.87
1,1,1,53.78,1.075
1,2,5,9.86,0.591
1,1,2,26.72,0.559
1,1,1,28.71,0.519
1,2,4,62.88,2.911
1,2,1,26.59,1.239
1,3,5,7.14,0.437
3,2,2,27.48,30.199
1,3,1,57.08,1.562
1,1,1,26.93,0.765
2,2,2,49.27,8.039
1,1,1,12.64,0.62
1,2,1,27.7,1.406
2,1,1,37.54,4.489
1,1,1,50.55,1.291
2,1,4,34.13,1.545
1,2,1,14.78,1.503
1,2,2,8.35,0.687
1,2,1,34.05,1.008
2,2,3,20.65,3.912
1,1,4,21.08,0.339
1,2,1,13.44,0.816
3,2,1,25.71,37.619
3,1,2,35.44,23.982
1,1,3,34.35,0.513
1,1,1,37.03,0.749
2,1,2,27.9,2.826
2,1,3,37.93,2.812
3,3,1,31.29,22.603
2,1,2,11.02,3.832
2,1,1,30.64,4.227
1,3,4,44.34,0.735
1,1,1,17.26,0.87
1,1,1,46.38,0.876
2,1,3,28.82,2.129
1,1,1,38.39,1.002
1,1,5,37.96,0.613
1,3,4,20.64,0.541
3,2,1,23.57,39.339
1,2,1,11.6,1.479
2,1,2,46.75,2.128
2,1,1,20.4,4.516
1,2,3,42.14,0.928
1,1,3,36.43,0.586
1,1,2,18.13,0.882
2,1,4,23.68,2.089
1,1,3,8.56,0.475
3,2,3,11.2,18.859
2,1,2,12.05,3.35
1,1,2,12.61,0.573
1,2,2,20.11,0.549
1,3,1,18.93,0.889
1,1,1,22.15,0.72
1,1,1,12.4,0.581
1,2,1,38.32,1.986
3,1,2,42.49,38.724
2,1,4,47.03,2.541
2,1,2,32.14,4.998
1,2,5,32.13,0.502
2,2,4,5.04,3.223
2,1,2,14.99,5.113
1,3,2,24.23,1.136
2,1,2,47.47,3.555
2,1,2,36.74,3.906
3,1,1,26.68,11.118
1,2,5,4.76,0.651
2,1,2,27.45,2.887
1,3,1,20.53,1.111
1,3,1,20.4,1.014
1,1,3,43.34,0.689
1,1,2,47.48,0.943
1,2,2,17.4,0.941
1,1,2,18.95,0.503
1,1,1,42.39,0.842
2,1,2,12.23,2.59
2,3,1,21.22,5.01
2,2,2,38.61,6.729
1,2,1,15.9,1.183
3,2,3,55.79,20.655
1,1,1,49.63,1.153
1,1,1,25.15,0.603
1,1,2,16.7,0.632
1,1,1,38.35,0.661
2,1,2,35.5,2.496
1,2,1,35.03,1.649
3,3,4,19.08,14.535
1,2,1,31.65,1.221
1,1,4,46.53,0.546
1,2,2,4.7,0.788
1,1,3,16.0,0.668
3,3,2,20.69,17.989
1,2,2,19.36,1.403
1,1,1,25.12,0.72
2,1,1,14.09,2.475
1,2,1,32.55,1.301
1,3,2,21.84,0.85
1,1,2,29.66,0.566
1,2,4,12.03,0.575
2,2,2,34.54,9.575
2,1,1,17.54,2.961
1,1,3,1.28,0.841
2,1,1,19.64,3.753
2,1,3,54.96,4.141
1,1,3,28.05,0.889
1,1,3,13.0,0.385
1,1,1,12.13,0.687
1,1,2,24.43,0.407
1,2,1,34.35,1.518
1,1,1,3.42,0.776
1,1,1,17.71,0.282
2,1,1,26.59,3.773
1,2,4,11.42,0.94
3,3,1,50.64,28.259
1,2,1,31.54,1.263
1,2,1,30.49,1.471
2,1,4,10.52,2.165
1,2,2,16.1,0.949
3,2,5,53.87,19.761
1,1,4,50.43,0.49
1,3,3,56.96,1.157
1,1,1,47.22,0.756
1,1,2,36.1,0.678
2,3,2,31.2,8.059
2,3,4,7.3,2.672
1,1,1,4.03,0.526
2,1,2,26.97,6.388
2,2,4,11.17,5.812
1,2,1,41.45,1.477
1,3,3,30.42,1.413
3,2,1,43.24,41.382
2,2,2,12.5,7.201
1,2,4,32.0,1.073
1,3,1,14.97,1.06
2,2,3,73.82,19.132
3,1,1,16.42,12.704
1,2,1,66.94,1.936
2,2,1,65.63,10.882
1,3,3,49.8,1.431
1,1,2,32.84,0.904
2,1,1,21.28,3.664
1,2,3,24.04,0.964
1,3,3,38.99,0.63
2,1,3,36.18,4.818
1,1,5,6.92,0.28
1,1,3,4.15,0.52
1,1,1,21.74,0.677
1,2,2,10.44,0.773
1,1,1,35.04,0.78
1,3,4,27.21,0.492
3,1,5,57.91,11.514
2,1,4,41.55,2.261
2,1,2,8.57,2.845
1,1,2,18.48,0.756
1,3,4,38.78,1.114
2,2,1,78.16,9.466
2,3,2,10.59,3.049
2,1,3,45.88,6.441
1,1,2,27.07,0.406
1,3,4,60.89,0.974
1,2,1,75.38,1.821
1,2,1,7.3,1.351
2,1,4,21.42,2.262
1,1,3,5.49,0.59
1,1,4,42.88,0.485
1,1,1,58.68,0.92
2,1,3,11.29,2.789
2,1,3,52.65,6.531
1,2,1,32.5,0.883
3,2,4,47.29,23.691
1,3,3,21.35,0.525
2,1,1,25.26,4.186
2,3,5,17.28,1.85
3,1,4,21.19,6.418
2,2,2,26.38,2.226
1,1,2,11.57,0.384
1,1,2,21.73,0.531
2,3,5,69.67,4.023
2,2,1,51.66,9.232
1,1,2,37.75,0.71
2,3,2,23.5,3.66
1,3,1,24.45,1.297
1,1,1,54.69,0.983
1,1,4,23.05,0.315
2,1,2,16.94,2.698
2,2,4,22.98,4.962
2,1,1,44.59,9.107
1,1,2,34.41,0.767
1,3,4,20.42,0.778
1,3,1,40.49,1.456
1,1,1,37.61,0.633
1,3,1,51.33,1.129
2,1,1,21.46,2.995
2,1,2,28.88,4.061
3,1,4,30.83,10.509
1,1,5,15.07,0.224
2,2,3,27.87,3.273
1,2,1,11.24,1.249
1,2,3,19.02,0.885
2,2,1,41.26,5.556
3,1,2,37.37,13.018
1,3,2,23.02,0.763
2,2,1,29.7,4.6
1,3,2,37.64,1.161
1,2,2,19.33,1.974
1,1,1,12.18,0.956
1,2,2,16.21,1.154
2,1,2,10.85,3.436
1,1,1,32.09,0.6
2,2,2,73.99,8.913
2,1,4,17.04,2.285
2,3,1,49.47,6.553
1,1,1,13.44,0.507
1,3,1,20.33,0.844
1,3,1,30.08,0.887
1,1,2,27.69,0.517
1,1,1,15.11,0.613
1,1,1,37.84,0.519
2,1,1,30.81,4.715
1,1,3,7.86,0.539
1,1,1,14.71,0.609
2,1,1,20.32,2.665
3,2,3,43.9,42.344
2,2,5,24.31,2.529
1,3,3,35.93,0.979
2,1,2,55.21,4.858
1,3,2,32.89,0.926
2,2,1,27.76,6.87
1,2,2,11.5,0.995
2,1,1,32.49,2.984
1,1,3,10.35,0.469
2,1,3,57.56,2.344
2,1,4,25.98,2.918
2,1,2,24.42,3.877
1,1,1,23.96,0.691
2,1,1,20.24,3.269
1,2,1,8.99,0.946
2,1,1,29.64,4.2
1,2,1,45.17,1.826
1,1,1,37.29,0.913
2,3,1,8.44,4.258
1,1,3,51.65,0.628
2,3,1,12.94,4.181
1,1,4,36.65,0.528
2,1,3,20.84,2.7
1,1,1,41.07,0.633
2,3,1,10.59,4.285
1,2,4,37.58,1.313
1,1,1,18.34,0.626
1,1,3,7.15,0.438
2,3,2,39.47,3.312
1,3,2,59.48,1.498
1,1,2,10.58,1.028
1,1,3,1.42,0.575
2,3,2,3.82,2.897
1,1,2,50.09,1.779
1,1,1,21.67,0.382
1,3,2,8.24,0.685
1,2,1,19.43,1.128
1,1,3,47.21,1.389
1,1,1,10.71,0.762
1,1,1,9.3,0.482
3,1,2,27.81,18.281
1,2,1,82.95,7.145
2,1,2,37.32,1.671
1,1,1,28.54,0.4
1,2,2,26.49,1.564
2,2,1,42.64,10.624
2,1,4,44.37,3.732
2,3,1,14.97,2.651
2,2,3,20.2,3.586
1,3,1,41.15,0.761
3,1,1,59.69,29.371
1,3,1,63.84,1.999
2,1,2,36.2,3.377
2,3,1,36.07,6.819
1,2,2,36.97,1.302
1,1,1,12.47,0.918
3,1,2,35.41,15.357
1,3,4,17.92,0.478
1,1,2,44.86,1.09
2,2,3,21.94,6.327
1,1,3,14.77,0.713
1,1,3,19.48,0.343
2,1,2,38.65,4.149
3,3,1,24.32,24.851
1,1,2,30.64,0.905
3,1,1,9.7,20.344
1,2,2,32.87,1.226
1,2,4,22.62,1.044
1,1,1,25.57,0.846
1,2,1,22.64,1.596
2,1,1,10.71,2.737
1,3,1,16.05,0.941
1,3,1,10.79,1.17
2,3,3,47.96,5.934
2,1,2,9.07,2.274
2,1,3,24.71,2.609
2,3,2,16.83,3.0
3,2,2,9.73,22.902
2,3,1,9.07,2.592
3,2,1,17.7,41.502
3,3,3,58.24,41.339
2,1,1,15.91,2.593
1,1,4,22.75,0.519
1,2,2,25.33,1.369
1,3,2,21.29,0.713
1,1,5,30.97,0.42
1,3,2,13.46,0.704
1,1,1,44.45,0.812
1,2,4,9.79,0.688
2,2,2,2.63,7.036
1,2,3,27.72,0.589
3,1,1,49.72,23.404
2,1,1,6.58,3.178
2,3,1,36.46,4.431
1,3,1,55.29,0.737
3,2,2,22.73,32.043
1,3,2,27.51,0.869
2,1,1,43.24,5.015
1,2,3,32.75,0.728
1,1,2,28.97,0.773
1,2,4,23.09,1.029
2,1,2,6.12,2.699
2,1,1,8.64,3.193
2,1,3,20.08,2.856
2,2,1,22.78,3.857
1,2,1,32.95,1.033
3,3,3,16.96,14.313
1,3,2,34.81,1.273
3,2,2,30.16,27.473
2,1,4,2.54,2.27
1,3,1,16.64,0.752
1,2,3,22.91,1.035
2,3,2,53.7,5.334
3,1,1,33.25,23.982
2,1,2,7.49,2.633
2,2,1,9.79,4.715
3,1,1,34.98,12.817
1,3,2,18.42,1.123
1,2,2,18.33,1.306
2,1,2,51.48,4.668
1,1,2,13.34,0.556
2,1,1,14.67,3.749
1,1,3,11.37,0.721
2,1,3,24.58,2.386
1,1,2,12.5,0.852
2,2,2,29.81,6.948
1,1,1,36.81,1.512
1,1,1,19.68,0.779
1,2,1,4.25,0.967
2,1,2,30.24,3.585
1,3,2,47.13,0.859
1,1,1,38.38,0.366
2,2,1,3.79,5.607
1,1,2,35.03,0.487
1,1,1,30.17,0.613
1,1,3,6.83,0.614
1,1,2,37.66,0.867
1,1,2,65.94,1.414
1,1,2,20.25,1.036
1,1,2,19.84,0.699
1,1,1,54.79,0.742
1,3,2,22.73,0.825
1,1,1,21.3,0.617
1,2,3,39.67,1.235
1,3,1,36.65,1.625
1,3,1,23.77,0.649
3,2,1,11.87,28.177
1,1,1,6.31,0.781
2,3,3,11.52,4.863
1,3,1,34.55,1.41
1,2,2,38.99,1.008
2,2,2,50.28,6.947
1,1,2,39.93,0.813
3,2,1,18.64,30.444
1,1,3,24.73,0.374
1,1,4,18.51,0.574
1,1,3,15.89,0.712
2,1,1,14.46,3.616
1,2,3,9.08,0.702
1,1,2,38.53,1.335
3,1,1,34.19,25.517
1,1,5,7.77,0.319
1,1,1,41.24,0.696
1,2,1,28.05,0.941
2,1,2,45.42,2.492
1,1,2,30.56,0.854
2,3,1,25.36,3.843
3,2,1,33.4,51.202
1,2,1,11.21,0.898
1,2,1,47.95,1.599
1,3,3,34.17,0.861
1,2,1,54.67,2.776
1,1,2,34.45,0.677
1,2,2,47.3,1.556
2,2,1,13.19,7.338
1,3,3,46.94,0.763
3,2,4,4.98,20.492
3,1,1,30.78,13.428
1,1,2,20.25,0.563
2,1,2,21.69,3.73
2,2,2,8.13,5.85
1,1,3,41.1,0.785
1,1,1,32.81,1.057
1,3,2,18.68,1.098
1,1,2,23.87,0.896
2,3,1,29.21,2.682
1,3,1,11.38,1.077
1,3,2,18.59,0.999
2,1,1,11.09,2.862
3,1,1,27.56,16.409
1,3,1,16.21,0.878
1,2,3,17.73,0.958
1,1,2,8.36,0.656
3,3,1,57.94,42.643
1,2,1,42.11,1.305
1,2,4,47.96,0.795
2,2,4,53.51,8.476
1,2,3,8.37,1.028
1,1,3,14.7,0.445
2,1,1,26.4,2.934
2,2,1,61.24,9.377
1,1,1,14.5,0.686
3,1,2,13.14,14.007
1,1,1,39.86,0.915
1,2,2,20.19,0.995
1,3,2,26.56,0.811
1,1,3,9.94,0.525
1,2,3,45.09,1.611
1,1,1,28.74,0.801
1,1,2,11.04,0.57
3,1,1,7.84,15.448
1,1,3,22.75,0.612
1,1,1,14.87,0.588
1,1,4,41.83,0.617
2,1,1,8.84,3.352
1,2,2,16.82,0.698
1,2,3,25.38,0.872
2,1,2,26.94,4.094
1,1,2,49.85,0.766
2,2,4,28.44,5.766
1,3,2,12.51,0.812
2,2,1,17.81,8.723
1,3,1,67.7,2.226
3,1,2,10.05,13.747
1,1,3,32.91,0.389
1,2,1,17.74,0.98
2,1,1,24.54,3.53
1,1,1,50.98,0.56
1,3,1,35.55,1.441
1,1,2,67.33,0.802
1,3,1,7.65,0.865
1,3,2,20.97,1.043
1,1,2,17.43,0.532
1,3,1,42.44,0.98
1,2,1,11.33,1.266
2,2,3,23.12,6.232
1,1,2,5.5,0.766
1,1,1,10.76,0.579
1,1,1,44.57,0.869
1,1,3,25.9,0.545
1,2,2,29.18,1.412
1,3,1,23.77,1.391
1,3,2,16.54,0.956
2,1,1,62.46,5.316
1,2,3,15.24,0.93
1,1,3,19.55,0.687
1,1,2,25.21,0.573
1,1,3,21.13,0.636
2,2,1,26.45,6.514
2,1,3,51.5,3.843
3,1,3,32.66,11.489
1,1,5,25.92,0.498
1,1,1,50.1,0.857
2,1,1,31.04,3.219
2,1,2,15.64,2.257
1,2,3,28.83,1.349
1,3,1,23.3,1.283
1,1,5,35.99,0.389
1,1,1,44.35,0.684
1,2,3,14.04,1.049
1,2,2,8.34,0.809
3,3,2,29.66,17.095
1,1,3,22.36,0.677
2,3,1,12.13,4.971
1,1,2,39.45,0.883
2,3,1,42.18,4.759
2,1,1,53.21,6.536
1,3,2,64.16,2.1
1,1,1,61.42,2.214
1,1,2,25.84,0.343
1,2,2,12.45,1.336
2,1,1,20.34,2.78
2,2,3,48.1,8.544
2,1,2,26.72,5.448
1,2,1,4.21,0.868
2,2,3,7.23,4.586
2,2,1,14.28,7.53
1,2,4,14.76,0.766
2,1,1,35.04,3.839
1,2,1,53.59,1.658
1,2,1,35.89,2.439
2,2,2,35.08,7.667
1,2,3,22.87,1.144
1,2,4,39.62,3.069
1,1,2,44.26,0.604
2,1,3,66.91,5.88
1,2,3,21.73,1.164
1,1,2,60.01,1.364
1,1,2,19.97,0.532
1,1,1,39.89,0.978
1,3,4,22.94,0.653
2,3,1,12.37,4.718
2,3,2,38.49,4.012
2,1,2,31.91,3.718
2,1,1,34.55,5.299
1,3,1,23.22,0.576
1,2,2,47.26,1.593
1,3,2,21.89,0.943
1,1,2,45.55,1.139
2,2,1,34.68,6.132
1,2,1,12.73,0.872
2,2,3,7.24,3.866
1,1,1,35.71,1.383
1,3,1,56.8,1.567
3,1,3,58.31,30.463
1,2,2,33.41,1.437
1,2,2,15.73,1.02
1,1,1,14.2,0.705
1,1,3,73.99,0.807
1,1,2,25.99,0.938
3,3,2,30.21,22.404
2,3,1,73.26,7.153
2,1,1,39.83,2.894
2,2,3,3.06,4.36
1,1,1,14.86,0.509
3,2,2,20.67,57.523
1,1,2,30.17,0.696
1,1,4,30.14,0.494
3,2,1,9.16,34.657
1,3,1,14.49,0.701
1,1,2,13.16,0.605
2,1,1,59.94,6.136
1,2,1,64.36,3.717
1,2,2,33.86,0.904
1,3,4,13.09,0.571
1,1,4,14.49,0.333
1,1,3,14.61,0.669
1,3,4,28.81,0.657
1,1,1,6.05,0.665
1,1,1,10.08,0.482
1,3,2,45.41,0.619
1,1,1,18.02,0.787
1,3,1,11.77,0.907
1,1,3,11.55,0.406
1,2,4,71.71,1.054
1,3,5,36.68,0.614
2,1,1,42.89,4.27
1,1,1,12.31,0.936
1,1,2,39.66,0.572
1,2,3,33.01,1.353
2,1,2,70.89,3.478
1,2,1,21.69,1.288
2,2,2,31.36,4.756
2,1,2,30.59,2.632
1,2,2,15.25,0.806
1,1,2,21.66,0.624
3,1,1,26.51,17.539
1,1,1,55.11,0.811
1,3,2,35.55,0.877
1,1,2,39.88,0.894
1,1,3,11.74,0.429
2,2,1,13.61,8.534
1,1,4,41.13,0.96
1,1,1,26.59,0.525
1,1,2,24.67,0.566
3,1,4,3.51,9.312
1,3,2,4.42,0.8
